order_item_id,order_id,product_id,quantity,unit_price,revenue
1,1,95,1,86.48,86.48
2,1,75,2,91.93,183.86
3,1,43,2,103.44,206.88
4,1,79,2,25.16,50.32
5,2,97,2,109.64,219.28
6,2,57,3,138.77,416.31
7,2,4,2,80.78,161.56
8,3,27,3,56.83,170.49
9,3,69,1,12.1,12.1
10,4,15,1,131.96,131.96
11,4,68,1,110.08,110.08
12,5,8,3,84.77,254.31
13,5,3,3,9.67,29.01
14,6,25,3,87.54,262.62
15,6,3,2,9.48,18.96
16,7,89,1,53.0,53.0
17,7,67,1,61.01,61.01
18,8,64,3,59.43,178.29
19,9,46,3,15.86,47.58
20,9,14,1,63.5,63.5
21,9,36,1,19.66,19.66
22,9,43,3,103.44,310.32
23,10,36,2,19.66,39.32
24,11,17,1,96.79,96.79
25,11,36,1,19.27,19.27
26,11,34,2,69.63,139.26
27,11,99,2,125.31,250.62
28,12,77,3,47.42,142.26
29,12,31,2,37.35,74.7
30,12,45,3,72.19,216.57
31,13,58,2,13.84,27.68
32,13,3,3,9.19,27.57
33,13,77,2,48.92,97.84
34,14,72,2,139.0,278.0
35,14,31,1,35.48,35.48
36,15,26,2,69.34,138.68
37,15,18,2,32.99,65.98
38,15,32,1,122.33,122.33
39,15,3,1,9.19,9.19
40,16,71,2,132.86,265.72
41,16,3,3,9.48,28.44
42,16,21,3,14.84,44.52
43,17,83,1,41.87,41.87
44,18,56,2,55.57,111.14
45,18,18,3,32.99,98.97
46,19,16,2,113.69,227.38
47,19,1,1,9.83,9.83
48,19,52,1,14.36,14.36
49,19,3,3,9.19,27.57
50,20,37,3,60.41,181.23
51,20,90,2,76.49,152.98
52,21,7,3,18.02,54.06
53,21,77,2,48.92,97.84
54,21,98,2,132.52,265.04
55,22,4,1,79.16,79.16
56,22,75,3,96.77,290.31
57,22,36,2,19.66,39.32
58,23,79,1,25.67,25.67
59,24,40,2,34.35,68.7
60,24,49,1,128.51,128.51
61,25,38,1,129.24,129.24
62,25,72,1,136.22,136.22
63,26,56,3,58.49,175.47
64,26,36,2,19.66,39.32
65,26,73,1,88.31,88.31
66,27,16,3,119.67,359.01
67,27,10,1,78.38,78.38
68,27,10,3,82.5,247.5
69,28,22,2,93.28,186.56
70,28,15,2,125.36,250.72
71,28,83,1,41.87,41.87
72,29,7,1,18.02,18.02
73,29,52,2,14.65,29.3
74,29,12,1,49.17,49.17
75,30,75,1,96.77,96.77
76,31,90,1,78.05,78.05
77,31,32,3,124.83,374.49
78,31,75,3,91.93,275.79
79,32,1,2,9.34,18.68
80,32,66,2,71.21,142.42
81,33,15,3,129.32,387.96
82,33,79,3,25.67,77.01
83,33,1,1,9.83,9.83
84,33,39,2,40.53,81.06
85,34,59,1,129.44,129.44
86,35,17,1,98.77,98.77
87,35,12,2,51.76,103.52
88,36,5,2,52.59,105.18
89,36,21,1,15.14,15.14
90,36,39,3,39.72,119.16
91,36,7,3,18.59,55.77
92,37,25,3,92.15,276.45
93,37,1,2,9.83,19.66
94,37,66,2,74.96,149.92
95,37,8,3,89.23,267.69
96,38,18,2,32.99,65.98
97,38,2,1,102.02,102.02
98,39,29,2,78.25,156.5
99,40,69,1,11.5,11.5
100,40,26,3,69.34,208.02
101,40,11,3,116.68,350.04
102,41,58,3,14.28,42.84
103,41,62,2,43.13,86.26
104,41,11,3,119.06,357.18
105,41,60,2,60.69,121.38
106,42,87,1,72.48,72.48
107,42,11,1,119.06,119.06
108,42,60,3,60.69,182.07
109,43,53,1,78.06,78.06
110,43,32,3,118.59,355.77
111,43,4,2,76.74,153.48
112,44,5,3,52.59,157.77
113,44,71,1,128.79,128.79
114,45,97,2,107.45,214.9
115,45,50,2,23.49,46.98
116,45,30,1,126.95,126.95
117,45,47,2,26.8,53.6
118,46,42,3,87.9,263.7
119,46,25,3,87.54,262.62
120,46,4,2,80.78,161.56
121,46,66,2,74.96,149.92
122,47,25,1,90.31,90.31
123,47,66,3,71.21,213.63
124,47,16,3,119.67,359.01
125,48,1,1,9.34,9.34
126,48,10,3,82.5,247.5
127,48,32,3,122.33,366.99
128,48,86,3,30.99,92.97
129,49,7,1,18.97,18.97
130,49,71,3,132.86,398.58
131,49,37,2,61.64,123.28
132,49,67,3,59.15,177.45
133,50,19,1,26.83,26.83
134,50,69,3,12.1,36.3
135,50,60,2,60.69,121.38
136,50,15,3,131.96,395.88
137,51,8,1,89.23,89.23
138,51,73,2,88.31,176.62
139,51,90,3,78.05,234.15
140,51,2,2,102.02,204.04
141,52,56,2,57.32,114.64
142,52,80,2,12.25,24.5
143,52,71,2,135.57,271.14
144,53,90,1,74.15,74.15
145,53,59,1,129.44,129.44
146,54,30,2,120.6,241.2
147,54,20,1,107.03,107.03
148,54,21,3,14.84,44.52
149,55,55,1,98.66,98.66
150,55,57,3,131.83,395.49
151,55,13,2,50.68,101.36
152,56,73,2,83.89,167.78
153,56,54,1,60.54,60.54
154,56,40,3,36.16,108.48
155,57,32,2,124.83,249.66
156,57,38,2,131.88,263.76
157,57,10,3,78.38,235.14
158,57,13,2,50.68,101.36
159,58,6,1,80.17,80.17
160,58,10,3,82.5,247.5
161,59,31,2,37.35,74.7
162,59,37,3,61.64,184.92
163,59,2,1,96.92,96.92
164,60,63,3,34.43,103.29
165,60,19,1,26.83,26.83
166,61,80,2,12.63,25.26
167,61,91,3,73.55,220.65
168,61,12,2,51.76,103.52
169,61,31,2,35.48,70.96
170,62,1,3,9.83,29.49
171,62,43,1,105.55,105.55
172,62,44,1,29.12,29.12
173,62,16,2,119.67,239.34
174,63,39,2,40.53,81.06
175,64,14,1,62.23,62.23
176,64,10,2,82.5,165.0
177,65,48,2,96.66,193.32
178,66,21,1,14.38,14.38
179,66,42,3,89.69,269.07
180,66,29,3,74.34,223.02
181,67,96,1,86.43,86.43
182,67,10,3,82.5,247.5
183,68,32,2,124.83,249.66
184,68,51,1,78.65,78.65
185,68,26,3,69.34,208.02
186,68,93,2,113.74,227.48
187,69,55,2,103.85,207.7
188,69,48,3,96.66,289.98
189,69,59,1,129.44,129.44
190,70,88,3,37.76,113.28
191,70,79,3,25.16,75.48
192,70,55,3,98.66,295.98
193,70,58,2,14.28,28.56
194,71,9,2,116.66,233.32
195,71,7,1,18.02,18.02
196,71,40,2,36.16,72.32
197,72,2,3,99.98,299.94
198,72,33,1,22.35,22.35
199,72,13,2,50.68,101.36
200,73,23,3,77.23,231.69
201,74,61,1,86.95,86.95
202,74,85,1,78.83,78.83
203,74,5,3,55.36,166.08
204,74,37,3,60.41,181.23
205,75,75,3,96.77,290.31
206,75,5,2,55.36,110.72
207,76,67,3,62.26,186.78
208,76,24,3,72.72,218.16
209,76,21,1,15.14,15.14
210,76,94,2,38.28,76.56
211,77,13,1,53.35,53.35
212,77,52,3,14.65,43.95
213,77,66,3,73.46,220.38
214,77,3,1,9.48,9.48
215,78,50,2,22.77,45.54
216,78,88,1,37.76,37.76
217,78,8,1,84.77,84.77
218,79,77,3,49.92,149.76
219,79,42,3,85.21,255.63
220,80,44,2,29.71,59.42
221,80,44,2,29.71,59.42
222,80,19,2,26.83,53.66
223,81,84,3,71.41,214.23
224,81,87,3,70.26,210.78
225,81,45,1,70.75,70.75
226,82,62,1,43.13,43.13
227,82,44,3,29.12,87.36
228,83,33,3,22.81,68.43
229,83,49,3,124.57,373.71
230,84,39,1,38.5,38.5
231,84,43,1,105.55,105.55
232,84,62,2,45.4,90.8
233,85,33,1,22.81,22.81
