product_id;supplier_id;sku;product_name;category;brand;cost_price;selling_price;stock_quantity;last_update;margin;margin_percentage;stock_value;stock_status
1;1;EL-001;Wireless Mouse 1;Electronics;TechNova;6,88;9,83;25;2025-12-18;2,95;0,3001;172,0;Medium Stock
2;1;EL-002;Wireless Mouse 2;Electronics;TechNova;55,75;102,02;12;2026-02-14;46,27;0,4535;669,0;Low Stock
3;1;EL-003;USB-C Hub 3;Electronics;TechNova;7,38;9,67;25;2026-02-03;2,29;0,2368;184,5;Medium Stock
4;1;EL-004;Wireless Mouse 4;Electronics;TechNova;47,09;80,78;150;2026-01-23;33,69;0,4171;7063,5;High Stock
5;1;EL-005;Bluetooth Speaker 5;Electronics;TechNova;38,69;55,36;8;2026-03-08;16,67;0,3011;309,52;Low Stock
6;1;EL-006;Bluetooth Speaker 6;Electronics;TechNova;57,36;84,39;18;2025-12-28;27,03;0,3203;1032,48;Low Stock
7;1;EL-007;Smart Plug 7;Electronics;TechNova;12,67;18,97;60;2026-03-19;6,3;0,3321;760,2;Medium Stock
8;1;EL-008;Smart Plug 8;Electronics;TechNova;50,28;89,23;120;2026-02-07;38,95;0,4365;6033,6;High Stock
9;1;EL-009;Wireless Mouse 9;Electronics;TechNova;77,98;116,66;150;2026-01-07;38,68;0,3316;11697,0;High Stock
10;1;EL-010;Smart Plug 10;Electronics;TechNova;48,3;82,5;8;2026-02-23;34,2;0,4145;386,4;Low Stock
11;1;EL-011;Bluetooth Speaker 11;Electronics;TechNova;62,98;119,06;25;2026-03-21;56,08;0,471;1574,5;Medium Stock
12;1;EL-012;Wireless Mouse 12;Electronics;TechNova;33,51;51,76;60;2025-12-21;18,25;0,3526;2010,6;Medium Stock
13;1;EL-013;Smart Plug 13;Electronics;TechNova;31,65;53,35;12;2026-02-16;21,7;0,4067;379,8;Low Stock
14;1;EL-014;Bluetooth Speaker 14;Electronics;TechNova;45,06;63,5;120;2026-01-18;18,44;0,2904;5407,2;High Stock
15;4;HO-015;Wall Shelf 1;Home;HomeStyle;79,21;131,96;150;2025-12-29;52,75;0,3997;11881,5;High Stock
16;4;HO-016;Wall Shelf 2;Home;HomeStyle;68,21;119,67;25;2026-03-16;51,46;0,43;1705,25;Medium Stock
17;4;HO-017;Storage Box 3;Home;HomeStyle;65,38;98,77;12;2025-12-28;33,39;0,3381;784,56;Low Stock
18;4;HO-018;Wall Shelf 4;Home;HomeStyle;20,95;32,99;120;2025-12-19;12,04;0,365;2514,0;High Stock
19;4;HO-019;Wall Shelf 5;Home;HomeStyle;15,47;26,83;150;2026-01-03;11,36;0,4234;2320,5;High Stock
20;4;HO-020;Air Humidifier 6;Home;HomeStyle;72,34;109,21;25;2025-12-18;36,87;0,3376;1808,5;Medium Stock
21;4;HO-021;Air Humidifier 7;Home;HomeStyle;11,82;15,14;12;2025-12-20;3,32;0,2193;141,84;Low Stock
