order_id,order_date,order_month,order_status,customer_id,country,product_id,product_name,category,brand,supplier_id,supplier_name,quantity,unit_price,revenue,cost_price,selling_price,margin,margin_percentage,stock_quantity,stock_status,delivery_days,reliability_score
1,2025-08-01,2025-08,Completed,1146,Netherlands,95,Puzzle Set 11,Kids,KidsWorld,9,KidsWorld Source,1,86.48,86.48,63.38,88.24,24.86,0.2817,150,High Stock,8,3.8
1,2025-08-01,2025-08,Completed,1146,Netherlands,75,Reusable Bottle 5,Green Living,EcoTrend,8,EcoTrend Supply,2,91.93,183.86,69.39,96.77,27.38,0.2829,120,High Stock,6,4.3
1,2025-08-01,2025-08,Completed,1146,Netherlands,43,Makeup Mirror 1,Beauty,BeautyPro,6,BeautyPro Trade,2,103.44,206.88,59.62,105.55,45.93,0.4351,12,Low Stock,2,4.7
1,2025-08-01,2025-08,Completed,1146,Netherlands,79,Reusable Bottle 9,Green Living,EcoTrend,8,EcoTrend Supply,2,25.16,50.32,13.65,25.67,12.02,0.4683,18,Low Stock,6,4.3
2,2025-08-02,2025-08,Cancelled,1098,Spain,97,Drawing Kit 13,Kids,KidsWorld,9,KidsWorld Source,2,109.64,219.28,65.11,109.64,44.53,0.4061,150,High Stock,8,3.8
2,2025-08-02,2025-08,Cancelled,1098,Spain,57,Monitor Stand 1,Office,OfficePlus,7,OfficePlus Vendor,3,138.77,416.31,74.68,138.77,64.09,0.4618,8,Low Stock,5,4.2
2,2025-08-02,2025-08,Cancelled,1098,Spain,4,Wireless Mouse 4,Electronics,TechNova,1,TechNova Supplies,2,80.78,161.56,47.09,80.78,33.69,0.4171,150,High Stock,3,4.8
3,2025-08-02,2025-08,Cancelled,1056,Italy,27,Desk Lamp 13,Home,HomeStyle,4,HomeStyle Distribution,3,56.83,170.49,43.08,56.83,13.75,0.2419,40,Medium Stock,4,4.5
3,2025-08-02,2025-08,Cancelled,1056,Italy,69,Desk Organizer 13,Office,OfficePlus,7,OfficePlus Vendor,1,12.1,12.1,8.14,12.1,3.96,0.3273,8,Low Stock,5,4.2
4,2025-08-02,2025-08,Cancelled,1124,Netherlands,15,Wall Shelf 1,Home,HomeStyle,4,HomeStyle Distribution,1,131.96,131.96,79.21,131.96,52.75,0.3997,150,High Stock,4,4.5
4,2025-08-02,2025-08,Cancelled,1124,Netherlands,68,Notebook Set 12,Office,OfficePlus,7,OfficePlus Vendor,1,110.08,110.08,67.59,110.08,42.49,0.386,18,Low Stock,5,4.2
5,2025-08-02,2025-08,Cancelled,1163,Spain,8,Smart Plug 8,Electronics,TechNova,1,TechNova Supplies,3,84.77,254.31,50.28,89.23,38.95,0.4365,120,High Stock,3,4.8
5,2025-08-02,2025-08,Cancelled,1163,Spain,3,USB-C Hub 3,Electronics,TechNova,1,TechNova Supplies,3,9.67,29.01,7.38,9.67,2.29,0.2368,25,Medium Stock,3,4.8
6,2025-08-03,2025-08,Completed,1107,France,25,Wall Shelf 11,Home,HomeStyle,4,HomeStyle Distribution,3,87.54,262.62,62.64,92.15,29.51,0.3202,40,Medium Stock,4,4.5
6,2025-08-03,2025-08,Completed,1107,France,3,USB-C Hub 3,Electronics,TechNova,1,TechNova Supplies,2,9.48,18.96,7.38,9.67,2.29,0.2368,25,Medium Stock,3,4.8
7,2025-08-03,2025-08,Completed,1011,Austria,89,Toy Basket 5,Kids,KidsWorld,9,KidsWorld Source,1,53.0,53.0,38.16,53.0,14.84,0.28,120,High Stock,8,3.8
7,2025-08-03,2025-08,Completed,1011,Austria,67,Pen Kit 11,Office,OfficePlus,7,OfficePlus Vendor,1,61.01,61.01,47.07,62.26,15.19,0.244,18,Low Stock,5,4.2
8,2025-08-04,2025-08,Completed,1085,Netherlands,64,Monitor Stand 8,Office,OfficePlus,7,OfficePlus Vendor,3,59.43,178.29,42.91,60.64,17.73,0.2924,8,Low Stock,5,4.2
9,2025-08-05,2025-08,Returned,1095,Italy,46,Face Cleanser 4,Beauty,BeautyPro,6,BeautyPro Trade,3,15.86,47.58,8.79,16.7,7.91,0.4737,8,Low Stock,2,4.7
9,2025-08-05,2025-08,Returned,1095,Italy,14,Bluetooth Speaker 14,Electronics,TechNova,1,TechNova Supplies,1,63.5,63.5,45.06,63.5,18.44,0.2904,120,High Stock,3,4.8
9,2025-08-05,2025-08,Returned,1095,Italy,36,Jump Rope 8,Fitness,UrbanFit,5,UrbanFit Partners,1,19.66,19.66,14.08,19.66,5.58,0.2838,60,Medium Stock,7,3.9
9,2025-08-05,2025-08,Returned,1095,Italy,43,Makeup Mirror 1,Beauty,BeautyPro,6,BeautyPro Trade,3,103.44,310.32,59.62,105.55,45.93,0.4351,12,Low Stock,2,4.7
10,2025-08-05,2025-08,Cancelled,1128,Germany,36,Jump Rope 8,Fitness,UrbanFit,5,UrbanFit Partners,2,19.66,39.32,14.08,19.66,5.58,0.2838,60,Medium Stock,7,3.9
11,2025-08-07,2025-08,Cancelled,1172,Austria,17,Storage Box 3,Home,HomeStyle,4,HomeStyle Distribution,1,96.79,96.79,65.38,98.77,33.39,0.3381,12,Low Stock,4,4.5
11,2025-08-07,2025-08,Cancelled,1172,Austria,36,Jump Rope 8,Fitness,UrbanFit,5,UrbanFit Partners,1,19.27,19.27,14.08,19.66,5.58,0.2838,60,Medium Stock,7,3.9
11,2025-08-07,2025-08,Cancelled,1172,Austria,34,Foam Roller 6,Fitness,UrbanFit,5,UrbanFit Partners,2,69.63,139.26,44.58,73.3,28.72,0.3918,25,Medium Stock,7,3.9
11,2025-08-07,2025-08,Cancelled,1172,Austria,99,Dog Leash 1,Pet Care,PetCare,10,PetCare Central,2,125.31,250.62,72.29,125.31,53.02,0.4231,120,High Stock,4,4.6
12,2025-08-08,2025-08,Completed,1142,Netherlands,77,Lunch Box 7,Green Living,EcoTrend,8,EcoTrend Supply,3,47.42,142.26,34.88,49.92,15.04,0.3013,12,Low Stock,6,4.3
12,2025-08-08,2025-08,Completed,1142,Netherlands,31,Yoga Mat 3,Fitness,UrbanFit,5,UrbanFit Partners,2,37.35,74.7,23.07,37.35,14.28,0.3823,12,Low Stock,7,3.9
12,2025-08-08,2025-08,Completed,1142,Netherlands,45,Body Lotion 3,Beauty,BeautyPro,6,BeautyPro Trade,3,72.19,216.57,39.7,72.19,32.49,0.4501,12,Low Stock,2,4.7
13,2025-08-09,2025-08,Completed,1022,Spain,58,Notebook Set 2,Office,OfficePlus,7,OfficePlus Vendor,2,13.84,27.68,10.49,14.57,4.08,0.28,40,Medium Stock,5,4.2
13,2025-08-09,2025-08,Completed,1022,Spain,3,USB-C Hub 3,Electronics,TechNova,1,TechNova Supplies,3,9.19,27.57,7.38,9.67,2.29,0.2368,25,Medium Stock,3,4.8
13,2025-08-09,2025-08,Completed,1022,Spain,77,Lunch Box 7,Green Living,EcoTrend,8,EcoTrend Supply,2,48.92,97.84,34.88,49.92,15.04,0.3013,12,Low Stock,6,4.3
14,2025-08-09,2025-08,Returned,1134,Spain,72,Lunch Box 2,Green Living,EcoTrend,8,EcoTrend Supply,2,139.0,278.0,78.22,139.0,60.78,0.4373,90,High Stock,6,4.3
14,2025-08-09,2025-08,Returned,1134,Spain,31,Yoga Mat 3,Fitness,UrbanFit,5,UrbanFit Partners,1,35.48,35.48,23.07,37.35,14.28,0.3823,12,Low Stock,7,3.9
15,2025-08-09,2025-08,Completed,1142,Germany,26,Desk Lamp 12,Home,HomeStyle,4,HomeStyle Distribution,2,69.34,138.68,39.03,72.99,33.96,0.4653,40,Medium Stock,4,4.5
15,2025-08-09,2025-08,Completed,1142,Germany,18,Wall Shelf 4,Home,HomeStyle,4,HomeStyle Distribution,2,32.99,65.98,20.95,32.99,12.04,0.365,120,High Stock,4,4.5
15,2025-08-09,2025-08,Completed,1142,Germany,32,Jump Rope 4,Fitness,UrbanFit,5,UrbanFit Partners,1,122.33,122.33,66.2,124.83,58.63,0.4697,150,High Stock,7,3.9
15,2025-08-09,2025-08,Completed,1142,Germany,3,USB-C Hub 3,Electronics,TechNova,1,TechNova Supplies,1,9.19,9.19,7.38,9.67,2.29,0.2368,25,Medium Stock,3,4.8
16,2025-08-11,2025-08,Returned,1152,Spain,71,Bamboo Cutlery 1,Green Living,EcoTrend,8,EcoTrend Supply,2,132.86,265.72,78.04,135.57,57.53,0.4244,25,Medium Stock,6,4.3
16,2025-08-11,2025-08,Returned,1152,Spain,3,USB-C Hub 3,Electronics,TechNova,1,TechNova Supplies,3,9.48,28.44,7.38,9.67,2.29,0.2368,25,Medium Stock,3,4.8
16,2025-08-11,2025-08,Returned,1152,Spain,21,Air Humidifier 7,Home,HomeStyle,4,HomeStyle Distribution,3,14.84,44.52,11.82,15.14,3.32,0.2193,12,Low Stock,4,4.5
17,2025-08-12,2025-08,Cancelled,1143,Netherlands,83,Lunch Box 13,Green Living,EcoTrend,8,EcoTrend Supply,1,41.87,41.87,32.32,41.87,9.55,0.2281,60,Medium Stock,6,4.3
18,2025-08-12,2025-08,Cancelled,1178,France,56,Body Lotion 14,Beauty,BeautyPro,6,BeautyPro Trade,2,55.57,111.14,34.68,58.49,23.81,0.4071,40,Medium Stock,2,4.7
18,2025-08-12,2025-08,Cancelled,1178,France,18,Wall Shelf 4,Home,HomeStyle,4,HomeStyle Distribution,3,32.99,98.97,20.95,32.99,12.04,0.365,120,High Stock,4,4.5
19,2025-08-13,2025-08,Completed,1028,Germany,16,Wall Shelf 2,Home,HomeStyle,4,HomeStyle Distribution,2,113.69,227.38,68.21,119.67,51.46,0.43,25,Medium Stock,4,4.5
19,2025-08-13,2025-08,Completed,1028,Germany,1,Wireless Mouse 1,Electronics,TechNova,1,TechNova Supplies,1,9.83,9.83,6.88,9.83,2.95,0.3001,25,Medium Stock,3,4.8
19,2025-08-13,2025-08,Completed,1028,Germany,52,Hair Dryer 10,Beauty,BeautyPro,6,BeautyPro Trade,1,14.36,14.36,9.27,14.65,5.38,0.3672,18,Low Stock,2,4.7
19,2025-08-13,2025-08,Completed,1028,Germany,3,USB-C Hub 3,Electronics,TechNova,1,TechNova Supplies,3,9.19,27.57,7.38,9.67,2.29,0.2368,25,Medium Stock,3,4.8
20,2025-08-14,2025-08,Completed,1107,Germany,37,Resistance Band 9,Fitness,UrbanFit,5,UrbanFit Partners,3,60.41,181.23,49.13,61.64,12.51,0.203,8,Low Stock,7,3.9
20,2025-08-14,2025-08,Completed,1107,Germany,90,Drawing Kit 6,Kids,KidsWorld,9,KidsWorld Source,2,76.49,152.98,54.41,78.05,23.64,0.3029,60,Medium Stock,8,3.8
21,2025-08-14,2025-08,Processing,1012,Netherlands,7,Smart Plug 7,Electronics,TechNova,1,TechNova Supplies,3,18.02,54.06,12.67,18.97,6.3,0.3321,60,Medium Stock,3,4.8
21,2025-08-14,2025-08,Processing,1012,Netherlands,77,Lunch Box 7,Green Living,EcoTrend,8,EcoTrend Supply,2,48.92,97.84,34.88,49.92,15.04,0.3013,12,Low Stock,6,4.3
21,2025-08-14,2025-08,Processing,1012,Netherlands,98,Night Light 14,Kids,KidsWorld,9,KidsWorld Source,2,132.52,265.04,76.25,139.49,63.24,0.4534,150,High Stock,8,3.8
22,2025-08-15,2025-08,Completed,1091,France,4,Wireless Mouse 4,Electronics,TechNova,1,TechNova Supplies,1,79.16,79.16,47.09,80.78,33.69,0.4171,150,High Stock,3,4.8
22,2025-08-15,2025-08,Completed,1091,France,75,Reusable Bottle 5,Green Living,EcoTrend,8,EcoTrend Supply,3,96.77,290.31,69.39,96.77,27.38,0.2829,120,High Stock,6,4.3
22,2025-08-15,2025-08,Completed,1091,France,36,Jump Rope 8,Fitness,UrbanFit,5,UrbanFit Partners,2,19.66,39.32,14.08,19.66,5.58,0.2838,60,Medium Stock,7,3.9
23,2025-08-15,2025-08,Completed,1031,Netherlands,79,Reusable Bottle 9,Green Living,EcoTrend,8,EcoTrend Supply,1,25.67,25.67,13.65,25.67,12.02,0.4683,18,Low Stock,6,4.3
24,2025-08-15,2025-08,Cancelled,1026,Netherlands,40,Jump Rope 12,Fitness,UrbanFit,5,UrbanFit Partners,2,34.35,68.7,23.22,36.16,12.94,0.3579,90,High Stock,7,3.9
24,2025-08-15,2025-08,Cancelled,1026,Netherlands,49,Body Lotion 7,Beauty,BeautyPro,6,BeautyPro Trade,1,128.51,128.51,74.49,131.13,56.64,0.4319,40,Medium Stock,2,4.7
25,2025-08-15,2025-08,Processing,1001,Austria,38,Yoga Mat 10,Fitness,UrbanFit,5,UrbanFit Partners,1,129.24,129.24,72.91,131.88,58.97,0.4471,12,Low Stock,7,3.9
25,2025-08-15,2025-08,Processing,1001,Austria,72,Lunch Box 2,Green Living,EcoTrend,8,EcoTrend Supply,1,136.22,136.22,78.22,139.0,60.78,0.4373,90,High Stock,6,4.3
26,2025-08-15,2025-08,Completed,1005,Netherlands,56,Body Lotion 14,Beauty,BeautyPro,6,BeautyPro Trade,3,58.49,175.47,34.68,58.49,23.81,0.4071,40,Medium Stock,2,4.7
26,2025-08-15,2025-08,Completed,1005,Netherlands,36,Jump Rope 8,Fitness,UrbanFit,5,UrbanFit Partners,2,19.66,39.32,14.08,19.66,5.58,0.2838,60,Medium Stock,7,3.9
26,2025-08-15,2025-08,Completed,1005,Netherlands,73,Lunch Box 3,Green Living,EcoTrend,8,EcoTrend Supply,1,88.31,88.31,60.24,88.31,28.07,0.3179,90,High Stock,6,4.3
27,2025-08-18,2025-08,Returned,1098,Spain,16,Wall Shelf 2,Home,HomeStyle,4,HomeStyle Distribution,3,119.67,359.01,68.21,119.67,51.46,0.43,25,Medium Stock,4,4.5
27,2025-08-18,2025-08,Returned,1098,Spain,10,Smart Plug 10,Electronics,TechNova,1,TechNova Supplies,1,78.38,78.38,48.3,82.5,34.2,0.4145,8,Low Stock,3,4.8
27,2025-08-18,2025-08,Returned,1098,Spain,10,Smart Plug 10,Electronics,TechNova,1,TechNova Supplies,3,82.5,247.5,48.3,82.5,34.2,0.4145,8,Low Stock,3,4.8
28,2025-08-21,2025-08,Completed,1115,Germany,22,Desk Lamp 8,Home,HomeStyle,4,HomeStyle Distribution,2,93.28,186.56,64.41,98.19,33.78,0.344,12,Low Stock,4,4.5
