order_item_id,order_id,product_id,quantity,unit_price
1,1,95,1,86.48
2,1,75,2,91.93
3,1,43,2,103.44
4,1,79,2,25.16
5,2,97,2,109.64
6,2,57,3,138.77
7,2,4,2,80.78
8,3,27,3,56.83
9,3,69,1,12.1
10,4,15,1,131.96
11,4,68,1,110.08
12,5,8,3,84.77
13,5,3,3,9.67
14,6,25,3,87.54
15,6,3,2,9.48
16,7,89,1,53.0
17,7,67,1,61.01
18,8,64,3,59.43
19,9,46,3,15.86
20,9,14,1,63.5
21,9,36,1,19.66
22,9,43,3,103.44
23,10,36,2,19.66
24,11,17,1,96.79
25,11,36,1,19.27
26,11,34,2,69.63
27,11,99,2,125.31
28,12,77,3,47.42
29,12,31,2,37.35
30,12,45,3,72.19
31,13,58,2,13.84
32,13,3,3,9.19
33,13,77,2,48.92
34,14,72,2,139.0
35,14,31,1,35.48
36,15,26,2,69.34
37,15,18,2,32.99
38,15,32,1,122.33
39,15,3,1,9.19
40,16,71,2,132.86
41,16,3,3,9.48
42,16,21,3,14.84
43,17,83,1,41.87
44,18,56,2,55.57
45,18,18,3,32.99
46,19,16,2,113.69
47,19,1,1,9.83
48,19,52,1,14.36
49,19,3,3,9.19
50,20,37,3,60.41
51,20,90,2,76.49
52,21,7,3,18.02
53,21,77,2,48.92
54,21,98,2,132.52
55,22,4,1,79.16
56,22,75,3,96.77
57,22,36,2,19.66
58,23,79,1,25.67
59,24,40,2,34.35
60,24,49,1,128.51
61,25,38,1,129.24
62,25,72,1,136.22
63,26,56,3,58.49
64,26,36,2,19.66
65,26,73,1,88.31
66,27,16,3,119.67
67,27,10,1,78.38
68,27,10,3,82.5
69,28,22,2,93.28
70,28,15,2,125.36
71,28,83,1,41.87
72,29,7,1,18.02
73,29,52,2,14.65
74,29,12,1,49.17
75,30,75,1,96.77
76,31,90,1,78.05
77,31,32,3,124.83
78,31,75,3,91.93
79,32,1,2,9.34
80,32,66,2,71.21
81,33,15,3,129.32
82,33,79,3,25.67
83,33,1,1,9.83
84,33,39,2,40.53
85,34,59,1,129.44
86,35,17,1,98.77
87,35,12,2,51.76
88,36,5,2,52.59
89,36,21,1,15.14
90,36,39,3,39.72
91,36,7,3,18.59
92,37,25,3,92.15
93,37,1,2,9.83
94,37,66,2,74.96
95,37,8,3,89.23
96,38,18,2,32.99
97,38,2,1,102.02
98,39,29,2,78.25
99,40,69,1,11.5
100,40,26,3,69.34
101,40,11,3,116.68
102,41,58,3,14.28
103,41,62,2,43.13
104,41,11,3,119.06
105,41,60,2,60.69
106,42,87,1,72.48
107,42,11,1,119.06
108,42,60,3,60.69
109,43,53,1,78.06
110,43,32,3,118.59
111,43,4,2,76.74
112,44,5,3,52.59
113,44,71,1,128.79
114,45,97,2,107.45
115,45,50,2,23.49
116,45,30,1,126.95
117,45,47,2,26.8
118,46,42,3,87.9
119,46,25,3,87.54
120,46,4,2,80.78
121,46,66,2,74.96
122,47,25,1,90.31
123,47,66,3,71.21
124,47,16,3,119.67
125,48,1,1,9.34
126,48,10,3,82.5
127,48,32,3,122.33
128,48,86,3,30.99
129,49,7,1,18.97
130,49,71,3,132.86
131,49,37,2,61.64
132,49,67,3,59.15
133,50,19,1,26.83
134,50,69,3,12.1
135,50,60,2,60.69
136,50,15,3,131.96
137,51,8,1,89.23
138,51,73,2,88.31
139,51,90,3,78.05
140,51,2,2,102.02
141,52,56,2,57.32
142,52,80,2,12.25
143,52,71,2,135.57
144,53,90,1,74.15
145,53,59,1,129.44
146,54,30,2,120.6
147,54,20,1,107.03
148,54,21,3,14.84
149,55,55,1,98.66
150,55,57,3,131.83
151,55,13,2,50.68
152,56,73,2,83.89
153,56,54,1,60.54
154,56,40,3,36.16
155,57,32,2,124.83
156,57,38,2,131.88
157,57,10,3,78.38
158,57,13,2,50.68
159,58,6,1,80.17
160,58,10,3,82.5
161,59,31,2,37.35
162,59,37,3,61.64
163,59,2,1,96.92
164,60,63,3,34.43
165,60,19,1,26.83
166,61,80,2,12.63
167,61,91,3,73.55
168,61,12,2,51.76
169,61,31,2,35.48
170,62,1,3,9.83
171,62,43,1,105.55
172,62,44,1,29.12
173,62,16,2,119.67
174,63,39,2,40.53
175,64,14,1,62.23
176,64,10,2,82.5
177,65,48,2,96.66
178,66,21,1,14.38
179,66,42,3,89.69
180,66,29,3,74.34
181,67,96,1,86.43
182,67,10,3,82.5
183,68,32,2,124.83
184,68,51,1,78.65
185,68,26,3,69.34
186,68,93,2,113.74
187,69,55,2,103.85
188,69,48,3,96.66
189,69,59,1,129.44
190,70,88,3,37.76
191,70,79,3,25.16
192,70,55,3,98.66
