order_id,order_date,customer_id,order_status,country
1,2025-08-01,1146,Completed,Netherlands
2,2025-08-02,1098,Cancelled,Spain
3,2025-08-02,1056,Cancelled,Italy
4,2025-08-02,1124,Cancelled,Netherlands
5,2025-08-02,1163,Cancelled,Spain
6,2025-08-03,1107,Completed,France
7,2025-08-03,1011,Completed,Austria
8,2025-08-04,1085,Completed,Netherlands
9,2025-08-05,1095,Returned,Italy
10,2025-08-05,1128,Cancelled,Germany
11,2025-08-07,1172,Cancelled,Austria
12,2025-08-08,1142,Completed,Netherlands
13,2025-08-09,1022,Completed,Spain
14,2025-08-09,1134,Returned,Spain
15,2025-08-09,1142,Completed,Germany
16,2025-08-11,1152,Returned,Spain
17,2025-08-12,1143,Cancelled,Netherlands
18,2025-08-12,1178,Cancelled,France
19,2025-08-13,1028,Completed,Germany
20,2025-08-14,1107,Completed,Germany
21,2025-08-14,1012,Processing,Netherlands
22,2025-08-15,1091,Completed,France
23,2025-08-15,1031,Completed,Netherlands
24,2025-08-15,1026,Cancelled,Netherlands
25,2025-08-15,1001,Processing,Austria
26,2025-08-15,1005,Completed,Netherlands
27,2025-08-18,1098,Returned,Spain
28,2025-08-21,1115,Completed,Germany
29,2025-08-21,1038,Completed,Austria
30,2025-08-21,1096,Cancelled,Austria
31,2025-08-21,1004,Completed,Spain
32,2025-08-22,1097,Processing,Austria
33,2025-08-22,1127,Completed,Germany
34,2025-08-24,1123,Cancelled,Netherlands
35,2025-08-24,1028,Completed,Italy
36,2025-08-27,1015,Completed,Netherlands
37,2025-08-27,1098,Returned,Germany
38,2025-08-28,1161,Completed,Netherlands
39,2025-08-28,1034,Cancelled,Spain
40,2025-08-28,1092,Completed,Spain
41,2025-08-28,1114,Returned,France
42,2025-08-29,1042,Completed,Italy
43,2025-08-30,1113,Completed,Italy
44,2025-09-02,1025,Processing,Italy
45,2025-09-02,1029,Completed,Netherlands
46,2025-09-02,1028,Returned,Spain
47,2025-09-02,1088,Completed,Austria
48,2025-09-04,1097,Completed,Italy
49,2025-09-04,1022,Completed,Germany
50,2025-09-05,1043,Completed,Netherlands
51,2025-09-06,1048,Cancelled,Italy
52,2025-09-06,1175,Completed,Italy
53,2025-09-07,1092,Completed,Italy
54,2025-09-07,1128,Returned,Spain
55,2025-09-07,1004,Completed,Austria
56,2025-09-08,1116,Completed,France
57,2025-09-08,1000,Completed,France
58,2025-09-09,1098,Cancelled,Germany
59,2025-09-10,1021,Returned,Austria
60,2025-09-10,1062,Completed,Spain
61,2025-09-11,1172,Completed,Spain
62,2025-09-11,1159,Processing,Italy
63,2025-09-13,1134,Returned,Spain
64,2025-09-13,1053,Returned,France
65,2025-09-14,1007,Returned,Netherlands
66,2025-09-14,1057,Completed,Netherlands
67,2025-09-17,1068,Completed,Austria
68,2025-09-17,1019,Completed,Spain
69,2025-09-17,1118,Cancelled,Germany
70,2025-09-17,1053,Completed,Spain
71,2025-09-17,1102,Cancelled,France
72,2025-09-18,1053,Processing,France
73,2025-09-19,1050,Cancelled,France
74,2025-09-20,1042,Completed,Spain
75,2025-09-20,1154,Returned,Italy
76,2025-09-20,1061,Completed,Italy
77,2025-09-21,1110,Processing,Italy
78,2025-09-21,1147,Completed,Netherlands
79,2025-09-21,1160,Completed,Austria
80,2025-09-22,1113,Returned,Austria
81,2025-09-22,1008,Completed,Spain
82,2025-09-22,1005,Cancelled,Germany
83,2025-09-22,1035,Processing,Italy
84,2025-09-23,1041,Completed,Austria
85,2025-09-23,1057,Cancelled,Germany
86,2025-09-23,1048,Completed,Spain
87,2025-09-23,1073,Completed,Germany
88,2025-09-23,1034,Processing,Spain
